feedback,errors,algorithm_used,framework,accuracy,model_identified,security_vulnerabilities,time_complexity,space_complexity,reliability,system_id
Spanish,94,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.6,Rev,false,O(n log n),O(n),true,96-868-3723
New Zealand Sign Language,59,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.66,Rev,true,O(n log n),O(n),true,40-368-0861
Kurdish,92,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.55,Ms,false,O(n log n),O(n),true,15-810-2798
Croatian,99,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.47,Mrs,true,O(n log n),O(n),true,31-336-8334
Lao,89,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.21,Mr,false,O(n log n),O(n),true,57-135-3576
Tok Pisin,50,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.71,Mr,false,O(n log n),O(n),true,47-414-7707
Belarusian,77,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.77,Dr,true,O(n log n),O(n),false,99-840-1602
Portuguese,13,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.74,Dr,true,O(n log n),O(n),true,49-825-8972
Punjabi,23,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.8,Dr,true,O(n log n),O(n),false,17-613-4256
Assamese,24,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.62,Mrs,false,O(n log n),O(n),true,86-886-4271
Assamese,23,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.39,Mrs,false,O(n log n),O(n),true,09-210-8991
Maltese,42,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.09,Dr,true,O(n log n),O(n),false,02-848-4946
Tamil,58,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.85,Honorable,false,O(n log n),O(n),true,72-683-3910
Luxembourgish,28,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.43,Mr,false,O(n log n),O(n),false,85-888-2801
Dzongkha,100,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.43,Rev,true,O(n log n),O(n),true,71-548-1305
Burmese,29,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.82,Rev,true,O(n log n),O(n),true,13-604-1696
Portuguese,78,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.45,Mr,false,O(n log n),O(n),true,95-301-6979
Thai,12,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.57,Mr,false,O(n log n),O(n),true,30-703-2904
Aymara,46,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.16,Ms,true,O(n log n),O(n),true,31-842-2828
Dutch,64,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.27,Dr,true,O(n log n),O(n),false,00-680-9093
Aymara,15,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.16,Honorable,true,O(n log n),O(n),true,34-456-1448
Assamese,15,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.72,Mr,false,O(n log n),O(n),true,85-238-9258
Romanian,43,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.15,Honorable,true,O(n log n),O(n),false,48-594-4903
Quechua,38,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.93,Mrs,true,O(n log n),O(n),false,12-127-5402
Icelandic,2,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.65,Dr,true,O(n log n),O(n),true,21-038-2785
Korean,78,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.61,Mr,false,O(n log n),O(n),true,12-469-8846
Somali,64,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.26,Ms,false,O(n log n),O(n),false,62-175-2200
Persian,64,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.81,Mrs,true,O(n log n),O(n),false,41-261-2119
Lao,75,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.77,Honorable,false,O(n log n),O(n),false,05-330-8494
Lithuanian,10,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.92,Honorable,true,O(n log n),O(n),false,69-081-7141
Moldovan,56,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.62,Honorable,true,O(n log n),O(n),true,63-727-5390
Tsonga,40,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.4,Rev,false,O(n log n),O(n),false,88-586-8177
French,35,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.82,Mr,false,O(n log n),O(n),false,77-940-8190
Marathi,51,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.46,Ms,false,O(n log n),O(n),true,23-321-8885
Nepali,19,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.1,Mr,true,O(n log n),O(n),false,69-038-7297
Bislama,29,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.98,Honorable,true,O(n log n),O(n),false,71-125-2000
Bengali,58,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.13,Rev,true,O(n log n),O(n),false,61-548-7875
Punjabi,20,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.94,Mr,true,O(n log n),O(n),false,60-572-2656
Dari,39,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.51,Mrs,true,O(n log n),O(n),false,44-991-5406
Indonesian,42,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.91,Ms,false,O(n log n),O(n),false,39-839-2162
Tok Pisin,91,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.77,Rev,true,O(n log n),O(n),true,18-805-9844
